handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_2ce0dd38-55ae-49da-f7bf-41d81375d372,Product,Pulos Jok Chair Furniture,cfffc3_56c0f5a1dbd5492899a50831df3217d5~mv2.jpg,Furniture;Home Decor;Livingroom;Dining Room;Bedroom,BG2133,929000.0,true,PERCENT,0.0,16,5.0,455000.0,
product_38975f77-c062-f6d2-0f0b-0e9e76ef07d0,Product,Novrita Sofa 2.1 + Puff Furniture,<p>2 Seat (P 140 L 75 T 45)<br>1 Seat (P 80 L 75 T 45)<br>Puff (P 50 L 50 T 45)<br>Tanpa Meja</p>,cfffc3_c363af17598d4618ba71645416306a88~mv2.jpg;cfffc3_227a33cc7d1046ffb40c6c1485786963~mv2.jpg,Furniture;Decoration;Home Decor;Livingroom,BG0001N,4200000.0,false,PERCENT,0.0,0,15.0,
product_9f8005d2-9828-c0db-5808-229c8f1cbc5c,Product,Doolar Table Furniture 180 cm,cfffc3_087038d55c534a789dc6138963514330~mv2.jpg;cfffc3_ee86e1367e944f51aa16ad5f4cb26af6~mv2.jpg;cfffc3_a23b6d65807747728280a616cf2a96da~mv2.jpg;cfffc3_277cb723773f4b0cac559799c3756c42~mv2.jpg;cfffc3_1cd0595867bb4ffa842a4f8da6b3d8ab~mv2.jpg,Furniture,BG2132,2500000.0,true,PERCENT,0.0,0,8.0,1400000.0,
product_c048f7e7-6640-eb04-cb2e-2ae824bf4e21,Product,Serwood Table Mini Furniture,Furniture,BG2131,1350000.0,false,PERCENT,0.0,1,5.0,450000.0,
product_83e2c1f3-91b7-f899-7d48-137b26c51ab0,Product,Table Cafe 80*80,Furniture,BG2131,850000.0,false,PERCENT,0.0,0,5.0,
product_08c342a6-2abf-397f-2976-6c72bc318079,Product,Kacang Bar Chair Furniture,Furniture,BG2130,965000.0,false,PERCENT,0.0,2,5.0,525000.0,
product_38496ba1-a6af-5ac9-3cec-199049796119,Product,Hana Chair Lipat,<p>&nbsp;</p>,Furniture,BG2129,750000.0,false,PERCENT,0.0,4,8.0,Specification,"<ul>
	<li>Bahan : Jati NPK&nbsp;</li>
	<li>Warna : Natural Take Wood</li>
	<li>Ukuran&nbsp;&nbsp;:&nbsp;</li>
</ul>
",Finishing,"<ul>
	<li>Warna : Natural Take Wood</li>
	<li>Finishing : Doff / Glossy</li>
</ul>
",Shipping,"<p>*Info lebih lanjut bisa hubungi Admin Store kami / Whatsapp (081132021021)</p>
",
product_d759122f-889a-14a8-3db4-163b4df7c4d0,Product,Margini Table Custom Size Furniture,<p>100x50x76</p>,cfffc3_91a4ed57c5ed4695af1e1e98fd4ce8b4~mv2.jpg;cfffc3_0ac6bdb723b54cbfa0bb792effbe6926~mv2.jpg;cfffc3_b4a529776fb64c76a604b41b9e864572~mv2.jpg;cfffc3_dfdc78942fbe469c8bbd8ed78e0a5cc0~mv2.jpg;cfffc3_25b909cc246f423aad12be2c2d2ffc72~mv2.jpg,Furniture,BG2129,1150000.0,true,PERCENT,0.0,2,8.0,780000.0,Specification,"<ul>
	<li>Bahan : Jati NPK&nbsp;</li>
	<li>Warna : Natural Take Wood</li>
	<li>Ukuran&nbsp;&nbsp;: P 100 x L 50 x T 60 cm</li>
</ul>
",Finishing,"<ul>
	<li>Warna : Natural Take Wood</li>
	<li>Finishing : Doff / Glossy</li>
</ul>
",Shipping,"<p>*Info lebih lanjut bisa hubungi Admin Store kami / Whatsapp (081132021021)</p>
",
product_7e6ccd1c-50ab-6762-cc39-0c648c00b320,Product,Stool Bulat Large,<p>&nbsp;</p>,Furniture;Decoration;Home Decor;Livingroom,BG2128,600000.0,false,PERCENT,0.0,InStock,10.0,500000.0,
product_145aabaa-9f74-c98c-1881-0eacf812ba14,Product,Stool Bulat Mini,<p>&nbsp;</p>,Furniture;Decoration;Home Decor;Livingroom,BG2127,350000.0,false,PERCENT,0.0,InStock,10.0,250000.0,
product_627ae574-6520-67b2-78c3-c2cae77557b2,Product,Standing Miror 50 x 150 List Lengkung,<p>&nbsp;</p>,Home Decor;Bathroom;Bedroom,BG2126,900000.0,false,PERCENT,0.0,3,0.3,590000.0,
